quantidade,quantidadeSuspeitos,mediaMovel,data,mediaMovelObito,quantidadeObitos
239,9,0.0,15/03/2020,0.0,0
169,5,0.0,16/03/2020,0.0,0
196,3,0.0,17/03/2020,0.0,0
259,8,0.0,18/03/2020,0.0,0
223,8,0.0,19/03/2020,0.0,0
485,7,0.0,20/03/2020,0.0,0
212,6,220.57,21/03/2020,0.0,0
216,4,227.28,22/03/2020,0.0,0
255,9,235.71,23/03/2020,0.0,0
265,3,236.57,24/03/2020,0.42,3
353,4,255.14,25/03/2020,0.71,2
219,3,217.14,26/03/2020,1.14,3
238,4,220.85,27/03/2020,1.57,3
207,4,219.57,28/03/2020,1.85,2
188,7,210.0,29/03/2020,2.42,4
375,5,225.71,30/03/2020,2.71,5
170,4,199.57,31/03/2020,2.85,3
640,14,259.71,01/04/2020,3.0,4
295,3,267.85,02/04/2020,3.85,9
281,7,278.42,03/04/2020,4.85,9
308,8,295.57,04/04/2020,5.28,7
493,9,312.42,05/04/2020,5.71,8
350,6,338.14,06/04/2020,7.14,13
344,11,295.85,07/04/2020,7.42,6
385,8,308.71,08/04/2020,7.28,8
424,13,329.14,09/04/2020,7.85,13
790,13,398.0,10/04/2020,8.85,14
440,13,390.42,11/04/2020,9.57,13
528,16,415.85,12/04/2020,9.85,15
676,28,463.28,13/04/2020,10.42,10
678,16,505.14,14/04/2020,12.42,22
1017,35,589.85,15/04/2020,13.14,18
643,18,568.85,16/04/2020,13.85,19
662,25,600.57,17/04/2020,15.71,26
648,26,617.71,18/04/2020,16.42,20
680,16,618.28,19/04/2020,18.85,27
1620,48,752.85,20/04/2020,20.42,33
846,26,728.42,21/04/2020,22.42,32
983,28,777.0,22/04/2020,24.14,31
1138,34,845.0,23/04/2020,25.0,32
1276,30,934.71,24/04/2020,30.14,56
1627,36,1070.0,25/04/2020,34.28,56
1228,31,1014.0,26/04/2020,38.0,59
1553,35,1115.0,27/04/2020,42.28,62
1796,38,1231.14,28/04/2020,46.28,59
1534,30,1287.71,29/04/2020,52.85,78
2277,45,1430.71,30/04/2020,59.0,99
3396,81,1683.42,01/05/2020,63.85,90
2065,45,1803.0,02/05/2020,69.42,98
1797,53,1837.85,03/05/2020,77.42,118
2346,43,1916.42,04/05/2020,84.14,106
2907,67,2112.57,05/05/2020,89.85,118
2143,42,2093.42,06/05/2020,91.42,110
2165,55,1917.57,07/05/2020,93.71,106
2421,59,1968.42,08/05/2020,98.0,128
2128,45,2015.71,09/05/2020,102.14,147
3262,77,2146.57,10/05/2020,105.71,131
2393,46,2073.14,11/05/2020,112.14,163
2408,60,2111.0,12/05/2020,117.42,147
2206,36,2116.85,13/05/2020,123.71,150
2280,49,2096.71,14/05/2020,125.42,140
3466,57,2287.85,15/05/2020,124.57,141
1881,35,2090.57,16/05/2020,125.14,135
2014,36,2036.42,17/05/2020,124.14,156
2766,37,2087.57,18/05/2020,124.57,150
2125,29,2076.0,19/05/2020,125.71,158
3402,53,2236.28,20/05/2020,127.42,152
2066,31,2036.28,21/05/2020,128.57,149
2079,28,2064.57,22/05/2020,129.85,144
1598,26,2005.14,23/05/2020,124.28,117
1412,28,1811.71,24/05/2020,118.42,109
2920,36,1925.28,25/05/2020,116.71,146
1847,26,1703.14,26/05/2020,109.28,100
1644,27,1642.85,27/05/2020,104.57,116
2125,22,1649.42,28/05/2020,100.0,112
1948,24,1699.42,29/05/2020,100.85,123
1990,28,1782.0,30/05/2020,97.57,86
1348,13,1557.42,31/05/2020,89.42,89
3515,48,1795.71,01/06/2020,89.0,97
2329,19,1893.57,02/06/2020,87.71,107
1867,39,1856.71,03/06/2020,80.85,64
1867,28,1845.14,04/06/2020,78.57,107
2443,32,1909.85,05/06/2020,78.28,84
1951,32,1996.0,06/06/2020,76.42,76
1403,29,1694.28,07/06/2020,72.85,72
2341,22,1696.0,08/06/2020,69.14,81
2005,40,1715.71,09/06/2020,73.0,91
2950,39,1870.42,10/06/2020,68.28,74
1765,23,1773.57,11/06/2020,66.28,70
2061,26,1789.28,12/06/2020,64.57,64
1554,22,1810.85,13/06/2020,63.85,67
1506,21,1691.57,14/06/2020,61.85,67
2828,35,1809.14,15/06/2020,59.42,74
2212,29,1703.71,16/06/2020,57.85,63
1862,21,1717.57,17/06/2020,57.28,66
2119,34,1725.85,18/06/2020,57.42,65
2183,43,1815.71,19/06/2020,55.71,55
2822,34,2003.71,20/06/2020,52.14,42
1391,16,1798.42,21/06/2020,48.28,47
2316,28,1813.28,22/06/2020,49.57,72
2060,16,1841.57,23/06/2020,47.71,53
1840,23,1801.71,24/06/2020,45.71,51
2150,24,1797.0,25/06/2020,47.57,68
2290,28,1721.0,26/06/2020,49.14,53
1477,19,1733.28,27/06/2020,49.85,52
1634,24,1635.85,28/06/2020,46.42,48
2076,24,1638.14,29/06/2020,48.14,65
2443,39,1724.28,30/06/2020,48.0,50
3123,43,1863.28,01/07/2020,45.42,50
2203,25,1850.85,02/07/2020,45.71,55
1817,18,1899.42,03/07/2020,44.28,42
1426,25,1869.71,04/07/2020,45.42,56
1656,23,1809.71,05/07/2020,43.42,51
2224,19,1778.42,06/07/2020,42.57,44
1988,18,1616.28,07/07/2020,42.0,46
1936,17,1578.14,08/07/2020,42.85,61
1798,13,1575.42,09/07/2020,43.42,46
2802,34,1772.0,10/07/2020,40.28,34
1162,26,1701.42,11/07/2020,39.28,44
1260,19,1563.71,12/07/2020,39.0,42
1934,18,1556.0,13/07/2020,38.14,40
1716,22,1524.57,14/07/2020,35.28,41
2047,18,1560.14,15/07/2020,33.28,32
1484,13,1371.85,16/07/2020,34.14,40
1813,16,1464.85,17/07/2020,33.28,38
1172,18,1452.28,18/07/2020,30.42,22
1151,21,1340.42,19/07/2020,30.71,42
2402,46,1438.42,20/07/2020,31.14,44
1591,24,1373.28,21/07/2020,32.14,39
1350,16,1354.14,22/07/2020,31.42,35
1333,15,1285.57,23/07/2020,30.42,31
1353,30,1311.42,24/07/2020,33.0,40
1387,14,1345.14,25/07/2020,33.28,44
985,19,1142.71,26/07/2020,31.0,28
1763,14,1167.28,27/07/2020,29.57,29
1298,16,1159.85,28/07/2020,28.71,29
1288,13,1153.42,29/07/2020,28.71,31
1390,17,1158.71,30/07/2020,28.57,39
1203,12,1132.42,31/07/2020,26.14,27
1789,36,1247.28,01/08/2020,26.0,27
924,9,1127.42,02/08/2020,26.28,31
1377,29,1138.71,03/08/2020,26.0,27
1293,29,1139.42,04/08/2020,24.57,21
1306,24,1127.42,05/08/2020,24.14,36
1044,24,1104.71,06/08/2020,23.85,25
1059,27,1000.42,07/08/2020,23.14,22
1005,24,1012.0,08/08/2020,23.14,31
820,16,932.42,09/08/2020,24.14,34
1838,22,1010.28,10/08/2020,25.57,31
1011,29,968.14,11/08/2020,23.85,24
1051,6,969.14,12/08/2020,24.42,29
910,13,947.85,13/08/2020,25.0,26
1158,37,969.71,14/08/2020,23.42,20
962,62,990.0,15/08/2020,21.14,18
765,10,836.71,16/08/2020,19.57,20
1139,14,855.0,17/08/2020,20.42,30
1087,39,860.14,18/08/2020,19.85,25
1024,18,876.42,19/08/2020,19.28,22
1218,31,885.0,20/08/2020,19.85,24
1058,62,898.71,21/08/2020,20.14,20
709,15,890.71,22/08/2020,20.14,20
632,12,818.28,23/08/2020,18.42,18
935,21,796.57,24/08/2020,17.14,16
911,47,780.42,25/08/2020,15.71,12
720,18,709.28,26/08/2020,14.57,16
826,74,676.14,27/08/2020,13.71,14
915,84,705.57,28/08/2020,13.28,17
525,12,690.28,29/08/2020,13.85,22
640,18,648.14,30/08/2020,15.14,25
866,27,641.71,31/08/2020,15.85,17
1260,38,718.85,01/09/2020,16.0,17
875,30,725.85,02/09/2020,16.28,16
837,22,714.71,03/09/2020,16.14,16
793,72,753.0,04/09/2020,17.57,32
698,8,761.28,05/09/2020,15.85,13
509,10,710.28,06/09/2020,16.14,19
594,11,615.14,07/09/2020,17.0,23
862,17,613.28,08/09/2020,17.0,16
853,16,615.57,09/09/2020,16.71,14
985,75,643.0,10/09/2020,14.42,16
764,76,652.42,11/09/2020,15.42,20
622,12,668.57,12/09/2020,15.71,21
504,8,655.71,13/09/2020,14.85,17
972,28,671.42,14/09/2020,14.57,14
1005,94,693.14,15/09/2020,15.14,18
822,18,669.85,16/09/2020,15.85,21
737,18,666.0,17/09/2020,15.28,16
797,77,691.0,18/09/2020,15.28,21
608,11,705.85,19/09/2020,15.42,18
808,13,682.42,20/09/2020,15.0,11
776,23,649.71,21/09/2020,14.85,17
698,63,632.0,22/09/2020,15.14,23
665,17,621.71,23/09/2020,15.42,18
644,15,599.85,24/09/2020,14.42,14
864,37,636.42,25/09/2020,14.28,17
511,12,594.0,26/09/2020,13.85,8
411,10,541.85,27/09/2020,15.0,25
829,35,560.57,28/09/2020,13.85,15
693,81,564.57,29/09/2020,14.0,19
736,59,577.71,30/09/2020,14.0,14
1015,149,599.28,01/10/2020,13.14,11
607,239,613.0,02/10/2020,14.0,14
440,10,617.14,03/10/2020,11.57,8
401,4,556.0,04/10/2020,11.0,11
794,79,570.42,05/10/2020,10.85,18
600,70,551.0,06/10/2020,10.57,12
570,50,487.42,07/10/2020,10.42,10
685,121,498.57,08/10/2020,10.71,16
691,58,534.42,09/10/2020,10.71,8
654,21,570.57,10/10/2020,10.71,11
345,14,506.42,11/10/2020,9.42,9
464,15,487.0,12/10/2020,9.28,11
776,23,516.42,13/10/2020,9.14,9
776,49,529.42,14/10/2020,8.71,13
787,21,543.14,15/10/2020,9.14,11
754,75,557.42,16/10/2020,8.71,8
488,127,577.85,17/10/2020,8.42,7
451,14,576.0,18/10/2020,8.71,13
856,18,587.42,19/10/2020,9.0,11
1011,22,621.0,20/10/2020,8.57,10
728,21,612.57,21/10/2020,8.0,7
685,21,602.71,22/10/2020,8.71,13
797,25,646.85,23/10/2020,9.57,13
457,8,647.71,24/10/2020,9.14,10
428,22,586.57,25/10/2020,9.71,15
797,19,556.0,26/10/2020,10.57,16
664,15,546.85,27/10/2020,10.57,7
625,4,538.28,28/10/2020,9.71,7
820,28,541.57,29/10/2020,9.28,10
738,81,581.71,30/10/2020,9.28,10
448,5,584.57,31/10/2020,8.28,8
556,44,550.14,01/11/2020,6.57,4
646,31,547.57,02/11/2020,7.14,11
1014,19,603.14,03/11/2020,7.71,11
837,30,605.57,04/11/2020,6.85,4
970,25,638.71,05/11/2020,6.14,5
869,15,698.85,06/11/2020,5.71,5
552,8,698.28,07/11/2020,6.85,12
426,5,666.85,08/11/2020,6.71,10
902,18,650.85,09/11/2020,6.28,8
912,35,661.57,10/11/2020,7.14,10
615,27,610.85,11/11/2020,7.42,7
700,8,586.71,12/11/2020,8.42,12
771,12,618.0,13/11/2020,7.85,8
599,12,642.71,14/11/2020,7.14,5
658,17,607.85,15/11/2020,7.0,7
1043,20,626.57,16/11/2020,6.42,6
1085,57,693.71,17/11/2020,6.71,9
1041,13,742.42,18/11/2020,5.57,4
1274,14,814.28,19/11/2020,6.28,13
1487,20,941.14,20/11/2020,7.14,11
793,9,960.42,21/11/2020,7.71,11
715,11,913.57,22/11/2020,8.57,12
1516,27,975.14,23/11/2020,9.57,16
1510,52,1042.14,24/11/2020,10.57,11
1470,16,1070.14,25/11/2020,10.71,14
1294,44,1042.57,26/11/2020,10.85,12
1277,29,1111.71,27/11/2020,11.0,12
808,12,1125.0,28/11/2020,10.42,8
637,6,999.42,29/11/2020,9.85,12
1607,21,1013.28,30/11/2020,9.85,11
1593,34,1030.85,01/12/2020,9.28,10
1282,10,1029.14,02/12/2020,10.28,19
1165,27,1013.14,03/12/2020,9.85,9
966,19,1035.71,04/12/2020,10.28,11
707,11,1045.71,05/12/2020,10.57,14
542,6,893.57,06/12/2020,11.57,18
1218,13,840.0,07/12/2020,11.28,8
1019,12,802.42,08/12/2020,10.71,15
1126,52,796.85,09/12/2020,11.28,13
1448,24,865.71,10/12/2020,11.42,12
1120,8,924.71,11/12/2020,12.14,19
749,18,954.28,12/12/2020,12.42,20
643,10,872.14,13/12/2020,14.0,19
1392,6,925.42,14/12/2020,13.57,12
1300,17,950.28,15/12/2020,13.71,14
1192,9,913.71,16/12/2020,13.57,11
1120,9,913.71,17/12/2020,13.0,15
1247,7,984.85,18/12/2020,13.14,21
724,10,996.42,19/12/2020,12.71,16
686,18,895.57,20/12/2020,13.42,17
1367,15,905.14,21/12/2020,13.42,14
1153,10,899.57,22/12/2020,13.57,12
1150,17,903.85,23/12/2020,13.85,17
633,21,816.14,24/12/2020,12.85,14
537,25,789.42,25/12/2020,12.14,11
612,21,778.85,26/12/2020,11.28,11
425,12,644.28,27/12/2020,10.14,6
894,13,607.28,28/12/2020,10.14,12
730,6,547.28,29/12/2020,10.28,18
954,13,593.14,30/12/2020,9.57,9
749,4,623.42,31/12/2020,10.0,14
992,19,677.71,01/01/2021,11.0,18
879,11,742.57,02/01/2021,12.28,15
748,13,721.71,03/01/2021,13.0,17
1457,97,825.57,04/01/2021,12.57,15
1228,36,864.71,05/01/2021,14.71,24
1166,13,924.28,06/01/2021,15.0,16
1263,20,963.0,07/01/2021,13.57,8
1367,32,1032.71,08/01/2021,13.71,16
967,15,1064.0,09/01/2021,13.85,18
1104,30,1013.57,10/01/2021,14.0,16
1571,23,1062.57,11/01/2021,13.42,20
1519,26,1113.0,12/01/2021,13.42,16
1532,10,1151.42,13/01/2021,14.42,15
1452,17,1163.57,14/01/2021,14.14,14
1567,41,1249.28,15/01/2021,13.71,15
1025,24,1238.0,16/01/2021,14.28,20
985,14,1154.28,17/01/2021,12.85,10
1753,26,1187.71,18/01/2021,13.14,18
1592,22,1196.28,19/01/2021,12.85,13
1600,34,1217.42,20/01/2021,14.85,28
1543,22,1214.0,21/01/2021,15.0,16
1546,15,1288.42,22/01/2021,16.14,28
1015,21,1292.71,23/01/2021,16.71,14
1050,18,1192.28,24/01/2021,16.28,15
1910,50,1237.71,25/01/2021,17.28,20
1501,22,1223.57,26/01/2021,16.28,21
1563,31,1226.42,27/01/2021,16.57,18
1729,28,1252.57,28/01/2021,15.71,22
1578,22,1333.0,29/01/2021,17.0,23
1183,26,1352.0,30/01/2021,17.42,18
1087,26,1234.42,31/01/2021,17.71,22
2508,51,1378.28,01/02/2021,17.57,20
1782,44,1409.57,02/02/2021,19.0,28
1775,49,1416.14,03/02/2021,19.14,23
1880,45,1459.28,04/02/2021,19.14,23
2202,33,1604.85,05/02/2021,19.71,22
1395,28,1648.85,06/02/2021,20.0,24
1343,28,1482.42,07/02/2021,20.85,26
2637,48,1604.57,08/02/2021,21.28,31
2394,34,1693.0,09/02/2021,22.14,29
2591,79,1794.57,10/02/2021,23.71,34
1962,34,1760.28,11/02/2021,23.42,20
2157,42,1869.14,12/02/2021,25.0,35
1484,36,1889.28,13/02/2021,26.14,34
1507,56,1727.85,14/02/2021,27.14,38
2777,74,1782.57,15/02/2021,28.0,35
2267,40,1736.28,16/02/2021,28.71,39
2331,58,1789.0,17/02/2021,29.14,23
2776,63,1877.42,18/02/2021,29.85,40
2776,60,2062.0,19/02/2021,29.14,29
2497,73,2203.42,20/02/2021,30.71,49
1766,52,2059.0,21/02/2021,33.0,51
3560,60,2243.71,22/02/2021,35.14,54
3234,53,2372.71,23/02/2021,40.14,58
3064,63,2413.85,24/02/2021,41.42,49
3278,90,2485.57,25/02/2021,46.85,67
3155,76,2579.57,26/02/2021,46.42,46
2573,57,2694.85,27/02/2021,48.71,67
2909,89,2601.85,28/02/2021,50.71,68
5599,236,2939.71,01/03/2021,51.0,60
4278,147,3113.14,02/03/2021,53.14,64
4108,132,3231.71,03/03/2021,52.57,63
4113,132,3368.57,04/03/2021,57.42,80
4384,120,3627.28,05/03/2021,57.85,70
3158,137,3662.85,06/03/2021,59.14,77
2889,128,3275.71,07/03/2021,64.0,94
4962,192,3373.42,08/03/2021,66.42,81
4458,166,3423.42,09/03/2021,70.0,88
5307,601,3594.0,10/03/2021,69.85,79
4254,215,3575.42,11/03/2021,73.14,93
4279,337,3735.57,12/03/2021,76.71,102
3251,329,3787.28,13/03/2021,77.28,98
2812,326,3480.14,14/03/2021,79.42,96
5407,810,3615.71,15/03/2021,80.14,93
4526,509,3504.14,16/03/2021,83.57,103
4370,543,3520.71,17/03/2021,85.71,108
4665,752,3575.85,18/03/2021,86.85,110
4155,951,3705.0,19/03/2021,89.85,119
4398,1642,3931.57,20/03/2021,93.28,120
2925,842,3577.0,21/03/2021,97.42,122
4679,1263,3598.85,22/03/2021,99.42,117
3825,1128,3521.0,23/03/2021,104.0,140
3477,842,3351.28,24/03/2021,105.28,119
3484,1040,3255.42,25/03/2021,106.42,127
3739,1048,3161.28,26/03/2021,109.14,139
3164,993,3195.42,27/03/2021,108.42,117
3000,1066,2955.57,28/03/2021,111.0,135
4301,1297,3023.57,29/03/2021,108.57,123
3939,1141,3089.57,30/03/2021,106.57,105
3803,963,3135.14,31/03/2021,108.0,137
5672,2044,3411.28,01/04/2021,106.14,126
4180,1341,3556.42,02/04/2021,106.42,119
4244,1268,3734.14,03/04/2021,106.71,137
4273,1452,3730.14,04/04/2021,106.28,120
6136,1876,4044.0,05/04/2021,111.0,138
4723,1384,4175.42,06/04/2021,109.28,125
4577,1329,4019.0,07/04/2021,108.71,122
4854,1374,4115.28,08/04/2021,104.28,88
5105,1659,4238.28,09/04/2021,99.57,104
4698,1955,4299.0,10/04/2021,98.14,110
3285,1129,3891.71,11/04/2021,92.57,99
5263,1655,3968.85,12/04/2021,91.71,119
3887,1181,3870.28,13/04/2021,91.14,118
4100,1211,3762.57,14/04/2021,93.14,102
4521,1305,3679.14,15/04/2021,96.0,124
4076,1194,3590.28,16/04/2021,99.57,135
3048,1012,3556.42,17/04/2021,98.71,93
3060,1121,3241.71,18/04/2021,96.28,102
4558,1357,3337.57,19/04/2021,96.0,116
4797,1616,3437.14,20/04/2021,96.0,102
3075,1083,3230.57,21/04/2021,92.85,102
4131,1061,3238.42,22/04/2021,90.85,121
4059,1203,3382.85,23/04/2021,93.28,110
3674,1234,3470.57,24/04/2021,92.57,97
3768,1302,3357.71,25/04/2021,90.42,101
4975,1494,3383.14,26/04/2021,89.85,98
4020,1099,3518.14,27/04/2021,89.0,96
4014,1158,3501.42,28/04/2021,87.14,108
3819,1001,3467.14,29/04/2021,84.0,88
4405,1326,3571.57,30/04/2021,83.14,91
3908,1694,3591.57,01/05/2021,81.14,87
2698,1137,3266.28,02/05/2021,79.42,86
4463,1371,3329.57,03/05/2021,76.57,76
3431,1201,3246.28,04/05/2021,72.14,77
3396,1381,3185.85,05/05/2021,71.71,85
3119,1313,3002.14,06/05/2021,67.28,60
3172,1518,2897.0,07/05/2021,66.42,81
2620,1611,2885.85,08/05/2021,62.57,59
2525,1769,2609.0,09/05/2021,62.57,76
3727,2980,2651.28,10/05/2021,59.57,56
2936,2159,2585.57,11/05/2021,58.14,75
2361,2132,2477.28,12/05/2021,59.42,69
1956,2267,2303.57,13/05/2021,55.0,50
1683,2890,2169.71,14/05/2021,52.28,40
994,2726,1951.0,15/05/2021,47.85,45
431,1927,1480.14,16/05/2021,48.14,58
733,1459,1165.42,17/05/2021,41.57,29
231,704,861.14,18/05/2021,37.42,40
116,281,598.28,19/05/2021,32.14,13
0,9,357.85,20/05/2021,26.71,2
